channel,datadatetime,spot length,cost,pip,audience,creative identifier
Sky Cinema Action/Adventure,20190901T060110,10,15000,E,0,SCCSHOM001010
Vice,20190901T061601,30,0,C,0,SCCSHOM001030
Sky Arts,20190901T061644,10,0,C,0,SCCSHOM001010
PTV Global,20190901T061917,30,0,C,0,SCCSHOM001030
Sky Sports Premier League,20190901T062812,10,0,E,0,SCCSHOM001010
Sky Sports Mix,20190901T065839,30,0,E,0,SCCSHOM001030
Sky 1,20190901T065910,10,0,E,0,SCCSHOM001010
Geo TV,20190901T070135,30,0,C,0,SCCSHOM001030
Sky Atlantic,20190901T070708,10,0,C,0,SCCSHOM001010
PTV Global,20190901T070947,30,0,C,0,SCCSHOM001030
Challenge,20190901T071201,10,0,C,11300,SCCSHOM001010
Sky 2,20190901T071456,10,0,C,0,SCCSHOM001010
E!,20190901T071524,10,0,C,0,SCCSHOM001010
Star Gold,20190901T071802,30,0,C,0,SCCSHOM001030
Sky Cinema Sci-Fi/Horror,20190901T072716,30,0,C,0,SCCSHOM001030
Sky Cinema Action/Adventure,20190901T074551,10,0,E,0,SCCSHOM001010
The Vault,20190901T074656,10,0,C,0,SCCSHOM001010
PTV Global,20190901T074847,30,0,E,0,SCCSHOM001030
Sky Cinema Greats,20190901T075317,30,0,C,0,SCCSHOM001030
Hum Europe,20190901T075616,30,0,E,0,SCCSHOM001030
Vice,20190901T075740,30,0,C,0,SCCSHOM001030
Geo TV,20190901T080340,30,0,C,0,SCCSHOM001030
Starz,20190901T080533,10,0,C,0,SCCSHOM001010
Sky Cinema Drama/Romance,20190901T080653,30,0,C,0,SCCSHOM001030
Chart Show TV,20190901T081141,30,0,C,0,SCCSHOM001030
